postcode,EstimatedPopulation2017,CensusPopulation2011,Aged00to04,Aged05to09,Aged10to14,Aged15to19,Aged20to24,Aged25to29,Aged30to34,Aged35to39,Aged40to44,Aged45to49,Aged50to54,Aged55to59,Aged60to64,Aged65to69,Aged70to74,Aged75to79,Aged80to84,Aged85plus,RelativeSEAdDisad_1,RelativeSEAdDisad_2,RelativeSEAdDisad_3,RelativeSEAdDisad_4,RelativeSEAdDisad_5,RelativeSEAdDisad_6,RelativeSEAdDisad_7,RelativeSEAdDisad_8,RelativeSEAdDisad_9,RelativeSEAdDisad_10,RelativeSEAdDisad_WeightedAverage
4383,763.13,741.12,0.04,0.07,0.05,0.04,0.05,0.07,0.05,0.05,0.04,0.04,0.10,0.13,0.08,0.05,0.07,0.05,0.01,0.02,763,,,,,,,,,,1.0
4384,53.77,71.00,0.04,0.07,0.08,0.05,0.03,0.04,0.01,0.06,0.09,0.04,0.08,0.08,0.09,0.10,0.05,0.04,0.03,0.03,,,,54,,,,,,,4.0
4385,1260.36,1112.84,0.06,0.05,0.07,0.05,0.05,0.05,0.01,0.06,0.07,0.04,0.09,0.07,0.10,0.10,0.05,0.03,0.04,0.04,383,274,88,515,,,,,,,2.6
4387,1456.40,1361.56,0.06,0.06,0.09,0.06,0.06,0.04,0.01,0.04,0.09,0.05,0.09,0.09,0.07,0.10,0.04,0.02,0.03,0.02,799,,,352,232,,74,,,,2.7
4388,449.86,362.92,0.07,0.07,0.11,0.03,0.04,0.06,0.03,0.05,0.05,0.04,0.08,0.06,0.10,0.10,0.05,0.04,0.02,0.03,272,,,,,,178,,,,3.4
4390,7189.20,6874.98,0.09,0.09,0.07,0.06,0.05,0.07,0.09,0.06,0.06,0.08,0.05,0.06,0.04,0.03,0.05,0.04,0.02,0.02,238,"1,018","2,095",,967,"1,499",400,274,697,,4.7
4400,1875.53,1776.02,0.06,0.05,0.04,0.04,0.11,0.08,0.06,0.04,0.06,0.04,0.08,0.09,0.13,0.06,0.02,0.03,0.01,0.00,,,451,"1,142",,235,47,,,,4.1
4401,5938.58,5540.25,0.08,0.07,0.05,0.04,0.06,0.10,0.03,0.10,0.08,0.08,0.07,0.07,0.04,0.04,0.02,0.03,0.02,0.02,"2,373",553,"1,143",357,318,619,336,239,,,3.0
4402,364.99,311.00,0.05,0.08,0.06,0.05,0.00,0.02,0.06,0.01,0.04,0.04,0.08,0.14,0.07,0.12,0.05,0.05,0.05,0.04,,285,57,22,,,,,,,2.3
4403,898.67,771.00,0.08,0.06,0.04,0.04,0.05,0.09,0.05,0.07,0.06,0.07,0.10,0.09,0.04,0.05,0.03,0.02,0.02,0.02,,,,793,,,,105,,,4.5
4404,725.76,544.00,0.08,0.07,0.06,0.04,0.05,0.08,0.05,0.07,0.07,0.09,0.09,0.08,0.04,0.04,0.03,0.03,0.02,0.01,,,,127,477,,,122,,,5.3
4405,15467.77,14139.53,0.08,0.07,0.10,0.09,0.05,0.05,0.06,0.04,0.08,0.07,0.08,0.06,0.05,0.04,0.04,0.03,0.02,0.02,965,"2,580","3,127",975,"1,643","1,579","2,737","1,863",,,4.6
